Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance,2P_% of FG Ast'd,3P_% of FG Ast'd,%FGA_Dunks,#_Dunks,%3PA_Corner 3s,3P%_Corner 3s
126,Gorgui Dieng,C,30,TOT,58,1012,0.461,14.6,0.586,0.294,0.105,0.079,0.108,0.414,0.532,0.673,0.333,0.407,0.432,0.359,0.71,0.961,0.085,26,0.261,0.432
127,Spencer Dinwiddie,SG,26,BRK,64,1994,0.415,13.3,0.608,0.31,0.191,0.078,0.028,0.392,0.485,0.637,0.354,0.263,0.31,0.308,0.176,0.496,0.014,14,0.13,0.327
128,Donte DiVincenzo,SG,23,MIL,59,1362,0.462,15.3,0.511,0.347,0.075,0.04,0.049,0.489,0.576,0.669,0.265,0.444,0.5,0.344,0.526,0.803,0.035,15,0.149,0.303
129,Luka Dončić,PG,20,DAL,54,1799,0.461,14.8,0.558,0.252,0.234,0.059,0.014,0.442,0.574,0.754,0.435,0.385,0.467,0.318,0.166,0.237,0.012,13,0.018,0.333
130,Luguentz Dort,SG,20,OKC,29,637,0.414,13.2,0.535,0.357,0.159,0.019,0,0.465,0.512,0.661,0.24,0,,0.301,0.651,1,0.083,12,0.452,0.333
131,Damyean Dotson,SG,25,NYK,48,836,0.414,19.6,0.438,0.128,0.055,0.062,0.193,0.562,0.48,0.676,0.25,0.389,0.446,0.362,0.541,0.814,0,0,0.153,0.32
132,Sekou Doumbouya,SF,19,DET,38,754,0.39,12.9,0.585,0.326,0.195,0.03,0.034,0.415,0.464,0.545,0.391,0.286,0.25,0.286,0.719,0.929,0.072,15,0.357,0.286
133,PJ Dozier,PG,23,DEN,21,234,0.396,14.3,0.692,0.22,0.209,0.165,0.099,0.308,0.46,0.65,0.263,0.4,0.556,0.25,0.483,0.571,0.011,1,0.107,0
134,Goran Dragić,PG,33,MIA,54,1531,0.437,16.3,0.528,0.178,0.154,0.107,0.089,0.472,0.491,0.678,0.373,0.338,0.508,0.377,0.349,0.644,0,0,0.163,0.412
135,Andre Drummond,C,26,TOT,57,1879,0.533,4.3,0.955,0.589,0.334,0.027,0.005,0.045,0.551,0.662,0.393,0.19,0,0.143,0.574,0.8,0.136,95,0.2,0.429
136,Jared Dudley,SF,34,LAL,40,311,0.4,19.4,0.32,0.16,0.08,0,0.08,0.68,0.25,0.125,0.5,,0.25,0.471,1,1,0,0,0.265,0.556
137,Kris Dunn,PG,25,CHI,51,1269,0.444,11.3,0.673,0.398,0.187,0.056,0.032,0.327,0.535,0.647,0.438,0.263,0.182,0.259,0.423,0.966,0.023,8,0.259,0.276
