Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance,2P_% of FG Ast'd,3P_% of FG Ast'd,%FGA_Dunks,#_Dunks,%3PA_Corner 3s,3P%_Corner 3s
282,Jake Layman,PF,25,MIN,23,505,0.453,13.3,0.598,0.352,0.14,0.039,0.067,0.402,0.533,0.635,0.28,0.571,0.5,0.333,0.789,0.917,0.073,12,0.208,0.333
283,T.J. Leaf,PF,22,IND,25,193,0.435,8.4,0.797,0.493,0.217,0.072,0.014,0.203,0.455,0.559,0.333,0.2,0,0.357,0.56,1,0.072,5,0.286,0.5
284,Jalen Lecque,PG,19,PHO,4,26,0.4,13.4,0.6,0.4,0,0.1,0.1,0.4,0.667,0.75,,1,0,0,0.25,,0.1,1,0.5,0
285,Courtney Lee,SG,34,DAL,24,345,0.488,17.3,0.427,0.171,0.134,0.024,0.098,0.573,0.543,0.714,0.545,0,0.375,0.447,0.421,0.857,0.024,2,0.383,0.444
286,Damion Lee,SG,27,GSW,49,1423,0.417,16.9,0.532,0.145,0.151,0.139,0.098,0.468,0.471,0.662,0.403,0.465,0.3,0.356,0.766,0.953,0.01,4,0.218,0.385
287,Alex Len,C,26,TOT,49,895,0.556,7.2,0.815,0.563,0.195,0.05,0.007,0.185,0.626,0.694,0.508,0.333,0.5,0.25,0.727,1,0.265,70,0.464,0.346
288,Kawhi Leonard,SF,28,LAC,51,1643,0.469,14.4,0.713,0.167,0.18,0.229,0.136,0.287,0.51,0.682,0.459,0.455,0.457,0.366,0.285,0.664,0.061,54,0.048,0.5
289,Meyers Leonard,C,27,MIA,49,987,0.52,16,0.466,0.242,0.148,0.058,0.018,0.534,0.625,0.815,0.515,0.154,0.5,0.429,0.831,0.941,0.166,29,0.16,0.368
290,Caris LeVert,SG,25,BRK,39,1131,0.414,12.5,0.69,0.24,0.253,0.149,0.048,0.31,0.429,0.582,0.325,0.374,0.379,0.381,0.289,0.472,0.025,15,0.101,0.368
291,Damian Lillard,PG,29,POR,58,2140,0.457,16.6,0.507,0.3,0.077,0.061,0.069,0.493,0.518,0.607,0.27,0.423,0.488,0.394,0.089,0.283,0.015,14,0.037,0.381
292,Nassir Little,PF,19,POR,48,573,0.43,11.6,0.609,0.397,0.166,0.033,0.013,0.391,0.554,0.667,0.4,0.2,0,0.237,0.686,1,0.139,18,0.407,0.167
293,Kevon Looney,C,23,GSW,20,262,0.367,9.8,0.823,0.38,0.253,0.063,0.127,0.177,0.431,0.7,0.2,0.4,0.1,0.071,0.5,1,0.051,4,0.429,0.167
294,Brook Lopez,C,31,MIL,61,1622,0.427,15.8,0.503,0.224,0.18,0.086,0.012,0.497,0.557,0.695,0.427,0.469,0.571,0.296,0.669,1,0.067,35,0.183,0.346
295,Robin Lopez,C,31,MIL,60,862,0.502,11.8,0.648,0.264,0.341,0.037,0.007,0.352,0.588,0.681,0.495,0.7,1,0.344,0.587,1,0.044,10,0.51,0.388
296,Kevin Love,PF,31,CLE,56,1780,0.45,18.3,0.464,0.133,0.116,0.111,0.103,0.536,0.537,0.66,0.393,0.605,0.467,0.374,0.586,0.932,0.007,3,0.141,0.455
297,Kyle Lowry,PG,33,TOR,52,1901,0.417,18.3,0.417,0.211,0.092,0.045,0.07,0.583,0.505,0.647,0.324,0.424,0.365,0.354,0.218,0.542,0,0,0.086,0.324
298,Timothé Luwawu-Cabarrot,SG,24,BRK,39,671,0.406,15.7,0.432,0.302,0.083,0.021,0.026,0.568,0.47,0.534,0.313,0.25,0.4,0.358,0.667,1,0,0,0.431,0.404
299,Trey Lyles,PF,24,SAS,63,1271,0.446,15.4,0.51,0.265,0.108,0.07,0.067,0.49,0.503,0.637,0.27,0.542,0.304,0.387,0.75,1,0.061,19,0.274,0.457
300,Daryl Macon,SG,24,MIA,4,14,0.333,22.3,0.333,0,0,0,0.333,0.667,0,,,,0,0.5,,1,0,0,0.5,1
301,J.P. Macura,SG,24,CLE,1,1,,,,,,,,,,,,,,,,,,0,,
302,Josh Magette,PG,30,ORL,8,38,0.333,15,0.733,0.067,0.267,0.2,0.2,0.267,0.364,1,0.5,0.333,0,0.25,0,1,0,0,0,
303,Ian Mahinmi,C,33,WAS,38,808,0.495,6.7,0.876,0.481,0.352,0.029,0.014,0.124,0.538,0.683,0.351,0.333,0.667,0.192,0.677,1,0.157,27,0.154,0.25
304,Thon Maker,C,22,DET,60,776,0.482,12,0.668,0.332,0.223,0.057,0.057,0.332,0.55,0.734,0.349,0.455,0.364,0.344,0.761,0.955,0.155,27,0.469,0.333
305,Terance Mann,SG,23,LAC,35,271,0.407,9.9,0.778,0.333,0.241,0.167,0.037,0.222,0.452,0.722,0.308,0.222,0,0.25,0.263,1,0.056,3,0.667,0.25
306,Boban Marjanović,C,31,DAL,37,337,0.555,7.4,0.913,0.434,0.306,0.121,0.052,0.087,0.582,0.8,0.415,0.333,0.333,0.267,0.522,1,0.116,17,0.067,1
307,Lauri Markkanen,PF,22,CHI,50,1492,0.425,15.5,0.464,0.274,0.149,0.027,0.014,0.536,0.518,0.648,0.341,0.313,0.25,0.344,0.535,0.991,0.096,47,0.142,0.422
308,Caleb Martin,SF,24,CHO,18,317,0.44,14.4,0.56,0.393,0.06,0,0.107,0.44,0.362,0.424,0.2,,0.222,0.541,0.588,1,0.06,3,0.189,0.571
309,Cody Martin,SF,24,CHO,48,903,0.43,12,0.628,0.44,0.101,0.019,0.068,0.372,0.546,0.681,0.238,0,0.286,0.234,0.535,0.944,0.101,16,0.364,0.214
310,Jeremiah Martin,PG,23,BRK,3,16,0.2,13.2,0.8,0.2,0.2,0,0.4,0.2,0.25,1,0,,0,0,1,,0,0,1,0
311,Kelan Martin,SF,24,MIN,31,495,0.392,16.5,0.47,0.182,0.16,0.088,0.039,0.53,0.541,0.727,0.414,0.625,0,0.26,0.696,0.84,0.022,3,0.396,0.316
312,Frank Mason III,PG,25,MIL,6,53,0.263,16.9,0.474,0.211,0.158,0,0.105,0.526,0.333,0.5,0,,0.5,0.2,0,1,0,0,0.3,0
313,Garrison Mathews,SG,23,WAS,18,227,0.429,23.7,0.179,0.018,0.054,0.054,0.054,0.821,0.5,1,0.333,0.333,0.667,0.413,0.6,0.947,0,0,0.239,0.455
314,Wesley Matthews,SG,33,MIL,62,1529,0.397,19.7,0.309,0.137,0.085,0.052,0.035,0.691,0.468,0.691,0.235,0.381,0.286,0.365,0.621,0.931,0.005,2,0.278,0.403
315,Patrick McCaw,SF,24,TOR,37,908,0.414,13.7,0.562,0.315,0.142,0.062,0.043,0.438,0.484,0.549,0.348,0.4,0.571,0.324,0.568,1,0.006,1,0.479,0.324
316,CJ McCollum,SG,28,POR,62,2229,0.453,15.5,0.622,0.172,0.161,0.145,0.144,0.378,0.497,0.598,0.379,0.494,0.511,0.38,0.2,0.661,0.004,3,0.148,0.559
317,T.J. McConnell,PG,27,IND,63,1188,0.517,8.8,0.959,0.323,0.235,0.282,0.119,0.041,0.524,0.59,0.6,0.48,0.302,0.333,0.22,1,0,0,0.4,0.167
318,Jalen McDaniels,PF,22,CHO,16,293,0.471,11.6,0.657,0.357,0.214,0.071,0.014,0.343,0.522,0.6,0.4,0.4,1,0.375,0.5,1,0.057,4,0.583,0.429
319,Doug McDermott,PF,28,IND,62,1242,0.491,17,0.46,0.257,0.077,0.041,0.086,0.54,0.544,0.683,0.526,0.25,0.286,0.445,0.87,1,0.022,8,0.249,0.439
320,JaVale McGee,C,32,LAL,61,1023,0.64,3.6,0.979,0.7,0.226,0.046,0.007,0.021,0.643,0.753,0.344,0.462,0.5,0.5,0.736,0.667,0.406,109,0,
321,Rodney McGruder,SG,28,LAC,50,749,0.391,15.2,0.494,0.186,0.244,0.058,0.006,0.506,0.506,0.621,0.447,0.444,0,0.278,0.718,1,0.013,2,0.468,0.216
322,Alfonzo McKinnie,SF,27,CLE,40,593,0.427,12.2,0.62,0.363,0.181,0.041,0.035,0.38,0.557,0.694,0.387,0.571,0,0.215,0.678,1,0.07,10,0.446,0.276
323,Jordan McLaughlin,PG,23,MIN,30,590,0.489,13.4,0.573,0.365,0.185,0.017,0.006,0.427,0.569,0.646,0.394,1,0,0.382,0.328,0.759,0.045,7,0.118,0.444
324,Ben McLemore,SG,26,HOU,63,1437,0.445,21.4,0.17,0.143,0.026,0.002,0,0.83,0.688,0.776,0.167,1,,0.395,0.873,0.961,0.045,19,0.295,0.452
325,Jordan McRae,SG,28,TOT,37,784,0.407,15,0.656,0.194,0.169,0.148,0.145,0.344,0.433,0.62,0.355,0.333,0.377,0.357,0.394,0.689,0.03,10,0.183,0.478
326,Nicolò Melli,C,29,NOP,52,889,0.442,19.3,0.353,0.155,0.09,0.061,0.047,0.647,0.592,0.767,0.4,0.471,0.538,0.361,0.603,1,0.047,12,0.239,0.349
327,De'Anthony Melton,PG,21,MEM,52,1011,0.419,13.5,0.669,0.292,0.181,0.071,0.125,0.331,0.47,0.621,0.391,0.36,0.295,0.316,0.532,0.892,0.054,17,0.154,0.444
328,Chimezie Metu,PF,22,SAS,16,73,0.571,9.1,0.971,0.371,0.257,0.114,0.229,0.029,0.588,0.769,0.444,0.5,0.5,0,0.7,,0.2,6,0,
329,Khris Middleton,SF,28,MIL,55,1653,0.499,16.6,0.626,0.129,0.128,0.198,0.171,0.374,0.547,0.691,0.459,0.518,0.538,0.418,0.395,0.707,0.013,11,0.151,0.521
330,Eric Mika,PF,25,SAC,1,19,0.667,5.7,1,0.667,0,0.333,0,0,0.667,0.5,,1,,,1,,0.333,1,,
331,C.J. Miles,SG,32,WAS,10,161,0.322,18,0.407,0.169,0.153,0.017,0.068,0.593,0.333,0.5,0.222,0,0.25,0.314,0.75,0.909,0.017,1,0.2,0.286
332,Malcolm Miller,SF,26,TOR,25,125,0.333,20.2,0.208,0.083,0.125,0,0,0.792,0.4,0.5,0.333,,,0.316,1,1,0,0,0.263,0.6
333,Patty Mills,PG,31,SAS,63,1430,0.429,20.4,0.325,0.118,0.043,0.038,0.125,0.675,0.529,0.676,0.52,0.364,0.444,0.38,0.515,0.784,0,0,0.203,0.443
334,Paul Millsap,PF,34,DEN,44,1075,0.486,10.8,0.718,0.339,0.248,0.096,0.036,0.282,0.504,0.679,0.302,0.459,0.357,0.44,0.629,1,0.052,17,0.275,0.433
335,Shake Milton,SG,23,PHI,32,611,0.498,15.6,0.512,0.24,0.152,0.097,0.023,0.488,0.541,0.692,0.424,0.381,0.4,0.453,0.45,0.875,0.009,2,0.217,0.391
336,Donovan Mitchell,SG,23,UTA,63,2165,0.453,14.6,0.653,0.171,0.235,0.134,0.113,0.347,0.501,0.626,0.424,0.5,0.471,0.364,0.22,0.609,0.026,25,0.129,0.4
337,Naz Mitrou-Long,SG,26,IND,3,43,0.375,21.6,0.313,0.063,0.063,0.188,0,0.688,0.8,1,0,1,,0.182,0.25,1,0,0,0.182,0.5
338,Adam Mokoka,SG,21,CHI,11,112,0.429,14.2,0.464,0.429,0,0,0.036,0.536,0.462,0.5,,,0,0.4,0.667,1,0,0,0.533,0.375
339,Malik Monk,SG,21,CHO,55,1169,0.434,14,0.582,0.287,0.203,0.061,0.031,0.418,0.542,0.671,0.424,0.4,0.4,0.284,0.526,0.862,0.059,27,0.162,0.273
340,Matt Mooney,SG,22,CLE,4,19,0.25,18.8,0.5,0,0,0.25,0.25,0.5,0.5,,,1,0,0,1,,0,0,0.5,0
341,E'Twaun Moore,SG,30,NOP,51,958,0.424,14.6,0.61,0.163,0.246,0.122,0.078,0.39,0.456,0.672,0.455,0.26,0.313,0.375,0.456,0.95,0.012,4,0.331,0.358
342,Ja Morant,PG,20,MEM,59,1771,0.491,9.2,0.826,0.421,0.233,0.129,0.044,0.174,0.517,0.602,0.403,0.505,0.343,0.367,0.289,0.569,0.073,44,0.101,0.5
343,Juwan Morgan,PF,22,UTA,16,74,0.529,8.5,0.706,0.647,0.059,0,0,0.294,0.667,0.636,1,,,0.2,0.625,1,0.059,0,0.6,0
344,Marcus Morris,SF-PF,30,TOT,55,1727,0.433,17.8,0.568,0.087,0.129,0.172,0.18,0.432,0.451,0.554,0.33,0.504,0.437,0.41,0.344,0.782,0.003,2,0.213,0.449
345,Markieff Morris,PF,30,TOT,52,1106,0.445,16,0.506,0.195,0.155,0.122,0.033,0.494,0.502,0.663,0.439,0.327,0.5,0.386,0.63,0.988,0.047,19,0.29,0.393
346,Monte Morris,PG,24,DEN,65,1402,0.459,13.9,0.702,0.19,0.194,0.169,0.149,0.298,0.494,0.728,0.33,0.366,0.556,0.375,0.351,0.852,0.002,1,0.368,0.396
347,Johnathan Motley,PF,24,LAC,13,41,0.733,3.8,0.933,0.733,0.2,0,0,0.067,0.714,0.909,0,,,1,0.7,1,0.2,3,0,
348,Emmanuel Mudiay,PG,23,UTA,48,752,0.471,12.3,0.737,0.273,0.194,0.208,0.062,0.263,0.512,0.582,0.446,0.483,0.5,0.355,0.294,0.704,0.024,4,0.303,0.304
349,Mychal Mulder,SG,25,GSW,7,204,0.388,21.2,0.224,0.09,0.09,0.015,0.03,0.776,0.667,0.667,0.667,0,1,0.308,1,1,0,0,0.269,0.571
350,Dejounte Murray,PG,23,SAS,58,1447,0.475,11,0.832,0.305,0.182,0.192,0.153,0.168,0.494,0.616,0.316,0.505,0.451,0.378,0.29,0.971,0.035,17,0.333,0.4
351,Jamal Murray,PG,22,DEN,55,1804,0.455,15.5,0.641,0.187,0.135,0.142,0.177,0.359,0.517,0.658,0.439,0.458,0.473,0.345,0.479,0.657,0.039,29,0.092,0.393
352,Džanan Musa,SF,20,BRK,35,404,0.36,13.8,0.532,0.345,0.151,0.036,0,0.468,0.473,0.521,0.381,0.4,,0.231,0.629,0.867,0,0,0.154,0.3
353,Mike Muscala,C,28,OKC,41,492,0.403,20.8,0.245,0.145,0.019,0.063,0.019,0.755,0.538,0.652,0.333,0.2,1,0.358,0.857,1,0.019,3,0.158,0.368
354,Sviatoslav Mykhailiuk,SF,22,DET,56,1265,0.41,19.5,0.296,0.173,0.094,0.017,0.012,0.704,0.425,0.571,0.184,0.286,0.4,0.404,0.529,0.939,0.025,9,0.218,0.419
355,Abdel Nader,SF,26,OKC,48,756,0.455,14.6,0.523,0.264,0.182,0.041,0.036,0.477,0.53,0.707,0.375,0.333,0.25,0.371,0.689,0.974,0.036,8,0.324,0.412
356,Larry Nance Jr.,C,27,CLE,56,1472,0.531,12.5,0.631,0.394,0.109,0.074,0.053,0.369,0.636,0.753,0.447,0.375,0.522,0.352,0.613,0.982,0.188,73,0.27,0.419
357,Shabazz Napier,PG,28,TOT,51,1234,0.412,17.2,0.462,0.22,0.08,0.092,0.07,0.538,0.518,0.692,0.273,0.316,0.517,0.32,0.202,0.507,0,0,0.104,0.174
358,Raul Neto,PG,27,PHI,49,565,0.451,14.1,0.594,0.291,0.166,0.086,0.051,0.406,0.49,0.647,0.31,0.267,0.556,0.394,0.314,0.857,0,0,0.099,0.571
359,Malik Newman,SG,22,CLE,1,4,0,22,0.5,0,0,0,0.5,0.5,0,,,,0,0,,,0,0,0,
360,Georges Niang,PF,26,UTA,58,772,0.453,18.9,0.302,0.121,0.128,0.038,0.015,0.698,0.538,0.75,0.5,0.2,0,0.416,0.465,1,0.004,1,0.405,0.48
361,Nerlens Noel,C,25,OKC,55,1014,0.685,5.1,0.988,0.618,0.181,0.13,0.059,0.012,0.689,0.86,0.543,0.273,0.267,0.333,0.838,1,0.445,106,0.333,1
362,Zach Norvell,SG,22,TOT,5,41,0.25,22.5,0.333,0,0.083,0.083,0.167,0.667,0,,0,0,0,0.375,,1,0,0,0.125,0
363,Jaylen Nowell,SG,20,MIN,15,151,0.358,14.4,0.509,0.283,0.17,0.038,0.019,0.491,0.593,0.6,0.556,0.5,1,0.115,0.563,0.667,0.057,3,0.308,0.125
364,Frank Ntilikina,PG,21,NYK,57,1187,0.393,16.6,0.589,0.201,0.078,0.117,0.192,0.411,0.444,0.567,0.346,0.282,0.453,0.321,0.264,0.795,0.027,5,0.182,0.48
365,Kendrick Nunn,SG,24,MIA,62,1846,0.448,15.8,0.574,0.201,0.141,0.112,0.12,0.426,0.512,0.632,0.4,0.495,0.461,0.362,0.38,0.756,0.029,21,0.229,0.361
366,David Nwaba,SF,27,BRK,20,268,0.521,11.5,0.606,0.408,0.183,0.014,0,0.394,0.581,0.655,0.462,0,,0.429,0.64,1,0.07,5,0.464,0.462
367,Royce O'Neale,PF,26,UTA,64,1862,0.439,18.3,0.343,0.215,0.103,0.006,0.019,0.657,0.536,0.638,0.364,0,0.5,0.389,0.864,1,0.053,14,0.327,0.42
368,Kyle O'Quinn,C,29,PHI,26,258,0.486,12.9,0.681,0.389,0.056,0.097,0.139,0.319,0.571,0.643,0.5,0.286,0.6,0.304,0.643,0.857,0.056,4,0.174,0
369,Semi Ojeleye,PF,25,BOS,61,891,0.409,17.7,0.384,0.164,0.138,0.025,0.057,0.616,0.475,0.538,0.409,0,0.667,0.367,0.621,0.972,0.05,6,0.439,0.465
370,Jahlil Okafor,C,24,NOP,28,424,0.611,3.8,0.986,0.576,0.361,0.042,0,0.014,0.613,0.747,0.423,0.333,,0.5,0.552,1,0.132,16,0,
371,Elie Okobo,PG,22,PHO,54,707,0.398,13.5,0.608,0.315,0.127,0.133,0.033,0.392,0.427,0.579,0.261,0.292,0.167,0.352,0.468,0.8,0.006,1,0.183,0.385
372,Josh Okogie,SG,21,MIN,62,1547,0.427,11.7,0.613,0.405,0.176,0.03,0.003,0.387,0.529,0.64,0.329,0.25,0,0.266,0.55,0.927,0.085,30,0.299,0.348
373,KZ Okpala,SF,20,MIA,5,26,0.6,7.6,0.8,0.4,0.4,0,0,0.2,0.75,1,0.5,,,0,0.333,,0.4,2,1,0
374,Victor Oladipo,SG,27,IND,13,337,0.391,16.5,0.571,0.261,0.075,0.106,0.13,0.429,0.457,0.405,0.583,0.353,0.571,0.304,0.452,0.524,0.012,2,0.101,0.143
375,Kelly Olynyk,C,28,MIA,59,1089,0.476,17.7,0.416,0.221,0.095,0.066,0.035,0.584,0.538,0.714,0.267,0.429,0.364,0.432,0.704,0.938,0.022,7,0.168,0.355
376,Miye Oni,SG,22,UTA,5,11,0,19.5,0.5,0,0,0.5,0,0.5,0,,,0,,0,,,0,0,1,0
377,Cedi Osman,SF,24,CLE,65,1910,0.437,15.8,0.473,0.269,0.125,0.057,0.021,0.527,0.497,0.604,0.355,0.371,0.308,0.383,0.545,0.894,0.007,4,0.221,0.38
378,Kelly Oubre Jr.,SF,24,PHO,56,1933,0.452,12.7,0.628,0.334,0.166,0.082,0.046,0.372,0.511,0.587,0.387,0.426,0.553,0.352,0.574,0.954,0.103,71,0.283,0.333
379,Tariq Owens,PF,24,PHO,3,15,0.2,14.6,0.6,0.2,0.2,0,0.2,0.4,0.333,1,0,,0,0,0,,0,0,0.5,0
380,Jeremy Pargo,PG,33,GSW,3,44,0.5,14,0.682,0.273,0.136,0.136,0.136,0.318,0.533,0.833,0,0.667,0.333,0.429,0,0.667,0,0,0,
381,Jabari Parker,PF,24,TOT,33,852,0.499,10.6,0.709,0.434,0.178,0.055,0.043,0.291,0.594,0.717,0.451,0.364,0.235,0.267,0.595,0.968,0.19,70,0.319,0.324
382,Chandler Parsons,SF,31,ATL,5,54,0.278,22.3,0.222,0.056,0.111,0,0.056,0.778,0.25,0,0.5,,0,0.286,0,1,0,0,0.143,0.5
383,Eric Paschall,PF,23,GSW,60,1654,0.497,11.2,0.798,0.33,0.22,0.1,0.148,0.202,0.55,0.725,0.411,0.422,0.453,0.287,0.569,0.973,0.111,66,0.256,0.303
384,Anžejs Pasečņiks,C,24,WAS,24,405,0.528,5.7,0.981,0.462,0.358,0.113,0.047,0.019,0.538,0.735,0.447,0.167,0.2,0,0.643,,0.066,6,0,
385,Patrick Patterson,PF,30,LAC,51,607,0.404,20.6,0.245,0.112,0.059,0.037,0.037,0.755,0.457,0.524,0.455,0.429,0.286,0.387,0.81,1,0.048,7,0.38,0.407
386,Justin Patton,C,22,OKC,5,24,0.4,13.5,0.6,0.2,0.3,0,0.1,0.4,0.5,0.5,0.667,,0,0.25,1,1,0.1,1,0.5,0
387,Chris Paul,PG,34,OKC,63,2003,0.489,17.1,0.653,0.071,0.12,0.309,0.153,0.347,0.557,0.86,0.505,0.526,0.52,0.362,0.13,0.327,0,0,0.097,0.296
388,Elfrid Payton,PG,25,NYK,45,1246,0.439,8.7,0.843,0.407,0.268,0.105,0.064,0.157,0.482,0.575,0.407,0.348,0.429,0.203,0.212,0.857,0.02,9,0.159,0.273
389,Gary Payton II,PG,27,WAS,29,432,0.414,11.7,0.603,0.431,0.129,0.034,0.009,0.397,0.5,0.64,0.067,0.25,1,0.283,0.629,1,0.095,10,0.391,0.278
390,Norvel Pelle,C,26,PHI,20,178,0.514,2,1,0.857,0.114,0.029,0,0,0.514,0.567,0.25,0,,,0.611,,0.257,8,,
391,Theo Pinson,SG,24,BRK,33,365,0.29,15.9,0.484,0.348,0.09,0.032,0.013,0.516,0.4,0.481,0.143,0,1,0.188,0.167,0.667,0.026,2,0.05,0
392,Mason Plumlee,C,29,DEN,53,900,0.617,3.5,0.984,0.694,0.218,0.052,0.02,0.016,0.627,0.767,0.333,0.231,0,0,0.712,,0.339,76,0.5,0
393,Jakob Poeltl,C,24,SAS,58,965,0.619,3.5,1,0.647,0.266,0.087,0,0,0.619,0.688,0.466,0.579,,,0.741,,0.119,24,,
394,Vincent Poirier,C,26,BOS,21,114,0.485,8.2,0.939,0.455,0.212,0.121,0.152,0.061,0.484,0.533,0.571,0,0.6,0.5,0.733,1,0.182,6,0,
395,Shamorie Ponds,PG,21,TOR,4,11,0.6,11.4,0.6,0.6,0,0,0,0.4,0.667,0.667,,,,0.5,0.5,1,0,0,0,
396,Jordan Poole,SG,20,GSW,57,1274,0.333,19.1,0.472,0.129,0.094,0.086,0.163,0.528,0.392,0.523,0.426,0.349,0.293,0.279,0.462,0.851,0.006,3,0.113,0.367
397,Kevin Porter Jr.,SF,19,CLE,50,1162,0.442,14,0.625,0.295,0.121,0.105,0.105,0.375,0.506,0.718,0.353,0.295,0.295,0.335,0.444,0.755,0.088,36,0.196,0.419
398,Michael Porter Jr.,PF,21,DEN,48,670,0.495,13.2,0.642,0.34,0.137,0.049,0.116,0.358,0.536,0.701,0.308,0.286,0.424,0.422,0.592,0.837,0.109,26,0.206,0.524
399,Otto Porter,SF,26,CHI,14,331,0.443,16.2,0.557,0.164,0.193,0.086,0.114,0.443,0.487,0.391,0.704,0.333,0.375,0.387,0.342,0.917,0.007,1,0.226,0.429
400,Bobby Portis,C,24,NYK,66,1393,0.45,13.9,0.683,0.212,0.211,0.114,0.146,0.317,0.493,0.616,0.484,0.388,0.407,0.358,0.566,0.985,0.029,15,0.193,0.417
401,Kristaps Porziņģis,PF,24,DAL,51,1597,0.42,16.7,0.553,0.187,0.124,0.168,0.074,0.447,0.477,0.722,0.29,0.382,0.383,0.349,0.695,0.968,0.094,70,0.033,0.417
402,Dwight Powell,C,28,DAL,40,1061,0.638,6.1,0.83,0.677,0.135,0.013,0.004,0.17,0.716,0.813,0.323,0,0,0.256,0.809,1,0.279,57,0.308,0.333
403,Norman Powell,SG,26,TOR,44,1269,0.502,14.1,0.543,0.349,0.122,0.027,0.045,0.457,0.589,0.683,0.413,0.357,0.478,0.398,0.679,0.947,0.058,27,0.314,0.432
404,Chasson Randle,PG,26,GSW,3,40,0,19.8,0.5,0,0,0.25,0.25,0.5,0,,,0,0,0,,,0,0,0,
405,Julius Randle,PF,25,NYK,64,2080,0.46,10.5,0.77,0.358,0.235,0.097,0.081,0.23,0.515,0.631,0.424,0.439,0.358,0.277,0.404,0.938,0.056,51,0.169,0.385
406,Josh Reaves,SG,22,DAL,2,1,0,13,1,0,0,1,0,0,0,,,0,,,,,0,0,,
407,Cam Reddish,SF,20,ATL,58,1551,0.384,15.4,0.549,0.227,0.134,0.085,0.103,0.451,0.428,0.54,0.365,0.319,0.351,0.332,0.508,0.867,0.056,17,0.284,0.338
408,J.J. Redick,SG,35,NOP,54,1425,0.45,21,0.382,0.072,0.052,0.059,0.199,0.618,0.446,0.575,0.241,0.364,0.477,0.452,0.811,0.929,0,0,0.151,0.5
409,Naz Reid,C,20,MIN,30,495,0.412,12.2,0.601,0.379,0.198,0.025,0,0.399,0.466,0.598,0.25,0.167,,0.33,0.603,0.938,0.062,12,0.155,0.467
410,Josh Richardson,SG,26,PHI,48,1474,0.429,15.9,0.627,0.171,0.139,0.152,0.166,0.373,0.489,0.622,0.388,0.345,0.568,0.327,0.415,0.814,0.024,14,0.117,0.32
411,Austin Rivers,SG,27,HOU,60,1402,0.421,15.5,0.463,0.271,0.157,0.028,0.007,0.537,0.495,0.564,0.426,0.167,0.667,0.358,0.283,0.747,0.002,1,0.216,0.42
412,Duncan Robinson,SF,25,MIA,65,1949,0.467,23.3,0.114,0.062,0.028,0.01,0.015,0.886,0.614,0.816,0.529,0.167,0.222,0.448,0.837,0.959,0.007,2,0.243,0.508
413,Glenn Robinson III,SF,26,TOT,60,1743,0.486,14.4,0.67,0.215,0.17,0.114,0.171,0.33,0.535,0.702,0.459,0.455,0.455,0.387,0.778,0.919,0.069,35,0.377,0.417
414,Jerome Robinson,SG,22,TOT,55,748,0.347,17.4,0.519,0.125,0.134,0.12,0.139,0.481,0.393,0.63,0.207,0.5,0.267,0.298,0.455,0.903,0.028,3,0.308,0.25
415,Justin Robinson,PG,22,WAS,9,49,0.417,20.4,0.583,0,0.083,0,0.5,0.417,0.286,,1,,0.167,0.6,0.5,1,0,0,0,
416,Mitchell Robinson,C,21,NYK,61,1412,0.742,1.3,1,0.924,0.073,0.003,0,0,0.742,0.775,0.36,0,,,0.668,,0.616,185,,
417,Isaiah Roby,SF,21,OKC,3,11,0,4,1,0,1,0,0,0,0,,0,,,,,,0,0,,
418,Rajon Rondo,PG,33,LAL,48,984,0.418,13.6,0.619,0.305,0.171,0.064,0.079,0.381,0.473,0.58,0.357,0.381,0.385,0.328,0.125,0.659,0,0,0.192,0.333
419,Derrick Rose,PG,31,DET,50,1298,0.49,10.9,0.805,0.301,0.252,0.145,0.106,0.195,0.535,0.665,0.458,0.468,0.438,0.306,0.173,0.644,0.003,2,0.122,0.444
420,Terrence Ross,SG,28,ORL,63,1723,0.407,20,0.416,0.09,0.068,0.106,0.152,0.584,0.477,0.786,0.321,0.402,0.415,0.357,0.617,0.87,0.031,20,0.081,0.405
421,Terry Rozier,PG,25,CHO,63,2164,0.423,15.6,0.55,0.221,0.149,0.103,0.078,0.45,0.436,0.553,0.343,0.361,0.384,0.407,0.319,0.808,0.009,6,0.187,0.405
422,Ricky Rubio,PG,29,PHO,57,1802,0.412,13.8,0.692,0.252,0.134,0.134,0.172,0.308,0.44,0.526,0.268,0.512,0.39,0.351,0.28,0.879,0,0,0.271,0.412
423,D'Angelo Russell,PG,23,TOT,45,1452,0.426,19.1,0.491,0.078,0.118,0.155,0.139,0.509,0.487,0.712,0.39,0.42,0.517,0.367,0.243,0.538,0.004,3,0.081,0.429
424,Domantas Sabonis,C,23,IND,62,2159,0.54,7.2,0.921,0.511,0.225,0.047,0.138,0.079,0.565,0.686,0.382,0.35,0.487,0.254,0.651,1,0.064,51,0.09,0.167
425,Luka Šamanić,PF,20,SAS,1,12,0,14.8,0.5,0.25,0.25,0,0,0.5,0,0,0,,,0,,,0,0,0,
