,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
4,Bam Adebayo,MIA,22,65,41,24,34.4,112.3,107.7,4.6,0.232,1.8,24,0.078,0.224,0.154,13.3,0.568,0.606,0.208,98.22,14.9
4,Duncan Robinson,MIA,26,65,41,24,30,113.9,106.2,7.7,0.067,1.52,11.7,0.005,0.101,0.055,7.7,0.665,0.678,0.154,98.98,7.9
4,Kevin Knox II,NYK,20,65,21,44,17.9,101.3,108.6,-7.3,0.076,1.36,11,0.021,0.128,0.072,8.1,0.44,0.47,0.172,102.29,5.6
4,Tobias Harris,PHI,27,65,39,26,34.5,109.7,106.7,3,0.145,2.11,14.4,0.024,0.171,0.097,6.8,0.528,0.557,0.234,99.04,12.4
4,Mikal Bridges,PHX,23,65,26,39,27.3,109.9,108.2,1.7,0.09,1.77,18.1,0.033,0.109,0.072,10.3,0.585,0.623,0.122,103.24,8.3
4,Anfernee Simons,POR,21,65,28,37,21.5,105.6,114.1,-8.6,0.1,1.56,13.2,0.016,0.079,0.047,8.5,0.472,0.506,0.183,103.08,5.7
21,Jarrett Allen,BKN,22,64,30,34,25.7,109.4,108.9,0.5,0.075,1.18,12.6,0.109,0.228,0.168,10.7,0.646,0.658,0.148,101.55,13.8
21,Taurean Prince,BKN,26,64,30,34,29,109.6,108.4,1.3,0.09,0.91,11.4,0.024,0.162,0.093,12.5,0.475,0.497,0.2,102.06,7.4
21,Spencer Dinwiddie,BKN,27,64,30,34,31.2,110.5,109.4,1.1,0.344,2.48,23.8,0.015,0.085,0.051,9.6,0.476,0.541,0.287,101.7,12.1
21,Thaddeus Young,CHI,32,64,22,42,24.9,101.9,108.1,-6.2,0.113,1.15,13.7,0.054,0.145,0.097,12,0.513,0.521,0.192,102.37,8.9
21,Dorian Finney-Smith,DAL,27,64,38,26,29.7,116.2,109.1,7.1,0.069,1.54,14.7,0.064,0.11,0.088,9.5,0.577,0.597,0.126,99.97,7.1
21,Jerami Grant,DEN,26,64,42,22,26.2,109.1,111.2,-2.1,0.069,1.44,10.3,0.032,0.102,0.067,7.2,0.55,0.585,0.176,98.96,8.3
21,P.J. Tucker,HOU,35,64,40,24,34.4,112.2,109.2,3,0.06,1.51,17.9,0.042,0.143,0.092,11.9,0.56,0.58,0.086,103.25,6
21,Ivica Zubac,LAC,23,64,44,20,18.1,112,104.1,7.9,0.088,1.3,13.2,0.134,0.233,0.184,10.2,0.601,0.642,0.162,101.34,13.9
21,Julius Randle,NYK,25,64,21,43,32.5,105.7,111.6,-5.9,0.158,1.03,12.8,0.067,0.223,0.142,12.4,0.492,0.538,0.271,99.72,13.1
21,Markelle Fultz,ORL,22,64,30,34,28.3,108.5,110,-1.5,0.27,2.55,27.8,0.018,0.099,0.058,10.9,0.496,0.523,0.205,100.17,9.5
21,Furkan Korkmaz,PHI,22,64,38,26,21.8,108.4,105.5,2.9,0.073,1.35,10.5,0.011,0.09,0.051,7.8,0.554,0.571,0.178,102.07,7.7
