,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
149,RJ Barrett,NYK,20,56,17,39,30.4,105.4,114.5,-9.1,0.127,1.15,12.9,0.027,0.134,0.078,11.2,0.445,0.479,0.234,100.72,7.2
149,Kelly Oubre Jr.,PHX,24,56,22,34,34.5,110.6,110.4,0.2,0.066,1.02,7.7,0.034,0.151,0.092,7.6,0.517,0.56,0.219,102.5,9.7
163,Damian Jones,ATL,25,55,15,40,16.1,104.7,117.3,-12.6,0.057,1.25,12.5,0.08,0.153,0.115,10,0.685,0.712,0.113,104.69,8
163,Treveon Graham,ATL,26,55,21,34,16.9,103.9,110.1,-6.2,0.069,1.55,13.2,0.05,0.099,0.074,8.5,0.428,0.456,0.13,103.76,3.7
163,Garrett Temple,BKN,34,55,26,29,28.1,104.2,105.7,-1.6,0.135,2.47,18.8,0.016,0.091,0.054,7.6,0.485,0.507,0.161,102.82,7.6
163,Malik Monk,CHA,22,55,18,37,21.3,101.8,112.3,-10.5,0.168,1.48,15.8,0.021,0.108,0.063,10.7,0.494,0.53,0.22,98.93,9.1
163,Jamal Murray,DEN,23,55,37,18,32.8,112.9,107,5.9,0.225,2.15,20.4,0.024,0.097,0.061,9.5,0.517,0.559,0.248,97.53,12
163,Myles Turner,IND,24,55,32,23,29.6,107.1,106.2,0.9,0.054,0.9,8.6,0.043,0.171,0.108,9.6,0.525,0.561,0.174,98.41,9.6
163,Marcus Morris Sr.,LAC,30,55,22,33,31.4,109.1,109.9,-0.8,0.068,0.88,7.7,0.029,0.128,0.077,8.8,0.522,0.567,0.224,98.93,9.5
163,JaMychal Green,LAC,30,55,38,17,20.5,110.5,105.2,5.3,0.051,0.96,10.5,0.061,0.21,0.138,11,0.536,0.554,0.129,105.16,8.2
163,Anthony Davis,LAL,27,55,43,12,34.3,112.3,105.6,6.7,0.148,1.27,11.6,0.064,0.197,0.131,9.1,0.544,0.614,0.287,102.61,18.3
163,Khris Middleton,MIL,28,55,44,11,30.1,113.4,99.6,13.8,0.2,1.99,17.8,0.023,0.156,0.094,8.9,0.577,0.619,0.259,106.84,15.5
163,Malik Beasley,MIN,23,55,30,25,22,109.8,111.6,-1.9,0.093,1.32,10.8,0.014,0.107,0.059,8.2,0.525,0.546,0.208,103.39,8.3
163,Jrue Holiday,NOP,30,55,24,31,34.9,110.5,109.9,0.6,0.289,2.39,24.6,0.034,0.096,0.065,10.3,0.514,0.535,0.244,104.13,11.7
163,Nerlens Noel,OKC,26,55,35,20,18.4,107.5,105.7,1.8,0.081,0.98,13.1,0.083,0.176,0.131,13.3,0.687,0.714,0.152,99.9,13.2
163,Danilo Gallinari,OKC,31,55,33,22,30.7,116.8,111.8,5.1,0.101,1.61,10.8,0.02,0.16,0.092,6.7,0.549,0.611,0.24,99.13,13
163,Chris Boucher,TOR,27,55,39,16,13.2,108.3,102.9,5.4,0.049,1,6.6,0.12,0.182,0.151,6.6,0.512,0.57,0.183,102.17,12.3
163,Jerome Robinson,WAS,23,55,35,20,13.6,105.4,103.2,2.2,0.117,1.91,19.8,0.011,0.115,0.063,10.4,0.419,0.439,0.139,109.03,4.4
179,Luka Doncic,DAL,21,54,34,20,33.3,117,110.8,6.2,0.448,2.07,23.4,0.037,0.222,0.132,11.3,0.531,0.584,0.358,100.95,19.3
179,Willie Cauley-Stein,DAL,26,54,16,38,20.3,102.2,107.7,-5.5,0.098,1.75,15.9,0.072,0.202,0.136,9.1,0.579,0.589,0.144,100.68,11.3
179,Andrew Wiggins,GSW,25,54,15,39,34.4,107.7,112.8,-5.1,0.18,1.5,13.9,0.033,0.11,0.07,9.3,0.504,0.536,0.269,103.46,10.4
179,Kyle Kuzma,LAL,24,54,43,11,24.6,109.8,104.5,5.3,0.075,0.81,8.7,0.035,0.134,0.086,10.7,0.491,0.522,0.224,103.58,8.2
179,Jaren Jackson Jr.,MEM,20,54,28,26,28,108.4,111.5,-3.1,0.076,0.81,8,0.034,0.124,0.079,9.9,0.564,0.59,0.237,104.34,8.8
179,Solomon Hill,MIA,29,54,28,26,18.4,109.4,111,-1.6,0.126,2.09,23.7,0.027,0.12,0.075,11.4,0.522,0.542,0.132,104.15,6.7
179,Jimmy Butler,MIA,30,54,36,18,34.3,113.4,108.5,4.9,0.284,2.81,23.9,0.054,0.137,0.097,8.5,0.474,0.583,0.248,97.96,15.7
179,Goran Dragic,MIA,34,54,34,20,28.4,111,108.7,2.3,0.293,2.05,23.4,0.017,0.086,0.053,11.4,0.526,0.571,0.247,100.54,11.1
179,JJ Redick,NOP,36,54,24,30,26.4,112.2,112.4,-0.2,0.106,1.66,13.6,0.006,0.086,0.046,8.2,0.59,0.639,0.193,106.01,9.6
179,Nikola Vucevic,ORL,29,54,25,29,32.6,109.4,109.8,-0.4,0.186,2.62,16.1,0.071,0.27,0.167,6.2,0.515,0.54,0.256,99.73,14.9
179,Ben Simmons,PHI,23,54,33,21,35.7,109.1,106.9,2.2,0.34,2.3,32,0.054,0.158,0.106,13.9,0.587,0.608,0.205,100.98,14.5
179,Elie Okobo,PHX,22,54,22,32,13.1,105.8,109.1,-3.3,0.227,2.97,31.2,0.022,0.101,0.061,10.5,0.467,0.511,0.149,101.1,7.7
179,Davis Bertans,WAS,27,54,20,34,29.3,113.6,113.9,-0.3,0.081,1.56,11.4,0.021,0.13,0.074,7.3,0.598,0.628,0.183,105.96,9.4
192,Marcus Smart,BOS,26,53,34,19,32.5,110.9,104.3,6.7,0.214,2.89,24.9,0.021,0.089,0.055,8.6,0.481,0.519,0.187,101.16,9.2
192,Bismack Biyombo,CHA,27,53,18,35,19.4,104.1,110.8,-6.6,0.079,1.04,11.2,0.112,0.178,0.145,10.8,0.543,0.57,0.168,96.39,9.7
192,Mason Plumlee,DEN,30,53,35,18,17,107.2,106.4,0.8,0.198,1.74,24.6,0.092,0.199,0.145,14.1,0.617,0.615,0.176,101.57,12.2
192,Russell Westbrook,HOU,31,53,34,19,35.9,110.3,106.7,3.6,0.338,1.57,19,0.044,0.16,0.102,12.1,0.495,0.539,0.33,107.2,14.8
192,Darius Bazley,OKC,20,53,32,21,17.2,98.3,101.6,-3.3,0.046,0.73,9,0.022,0.173,0.1,12.4,0.448,0.475,0.137,101.69,7.7
192,Gary Trent Jr.,POR,21,53,23,30,20,108.8,113.2,-4.4,0.067,2.63,11.5,0.017,0.058,0.038,4.4,0.537,0.555,0.151,102.11,6.6
192,Trevor Ariza,POR,35,53,22,31,28.2,109,109.3,-0.3,0.081,1.63,18.1,0.022,0.137,0.08,11.1,0.557,0.593,0.117,100.74,7.7
192,Bogdan Bogdanovic,SAC,27,53,26,27,28.5,108.1,110.3,-2.2,0.18,1.9,18,0.011,0.103,0.056,9.5,0.541,0.56,0.22,98.58,9.8
192,Lonnie Walker IV,SAS,21,53,24,29,14.5,108,109.4,-1.5,0.087,1.48,12.5,0.025,0.118,0.072,8.4,0.489,0.515,0.178,102.14,6.8
192,LaMarcus Aldridge,SAS,34,53,23,30,33.1,110.2,113.4,-3.2,0.117,1.74,12,0.058,0.162,0.11,6.9,0.532,0.571,0.236,99.82,12
192,Pascal Siakam,TOR,26,53,40,13,35.5,112.8,104,8.7,0.165,1.45,13.3,0.03,0.166,0.101,9.2,0.517,0.559,0.282,101.81,13.2
203,Markieff Morris,LAL,30,52,20,32,21.3,104.7,110.2,-5.5,0.102,0.99,12.1,0.03,0.144,0.088,12.3,0.54,0.568,0.205,101.1,8.4
203,De'Anthony Melton,MEM,22,52,25,27,19.4,111.4,105.2,6.2,0.201,2.01,24.8,0.035,0.139,0.089,12.3,0.472,0.525,0.189,105.8,10
203,Marvin Williams,MIL,34,52,20,32,19.4,106.2,110,-3.8,0.08,2,15.8,0.019,0.126,0.071,7.9,0.546,0.585,0.125,101.09,7.4
203,George Hill,MIL,34,52,44,8,21.2,113,101.4,11.5,0.189,3.08,26.5,0.039,0.085,0.063,8.6,0.638,0.668,0.155,104.52,11.9
203,Nicolo Melli,NOP,29,52,24,28,17.1,105.3,110.8,-5.5,0.109,1.6,16.2,0.038,0.134,0.084,10.1,0.559,0.583,0.159,104.09,7.7
203,Marco Belinelli,SAS,34,52,23,29,15,111.2,109.2,1.9,0.106,4,17.5,0.005,0.103,0.055,4.4,0.496,0.521,0.161,103.43,6.8
203,Rondae Hollis-Jefferson,TOR,25,52,36,16,19.2,108.5,103.4,5.1,0.135,1.84,18.3,0.091,0.141,0.116,10,0.475,0.533,0.164,101.46,10.3
203,Kyle Lowry,TOR,34,52,36,16,36.6,111.1,105,6.1,0.309,2.59,28.2,0.015,0.108,0.063,10.9,0.52,0.589,0.225,102.15,12.3
211,Enes Kanter,BOS,28,51,32,19,17.5,112,103.7,8.3,0.082,0.94,10.9,0.15,0.266,0.209,11.6,0.568,0.594,0.185,100.18,15.5
211,Kris Dunn,CHI,26,51,19,32,24.9,103.5,103.6,-0.1,0.198,2.54,28.5,0.017,0.132,0.073,11.2,0.487,0.51,0.145,101.61,8.2
211,Kristaps Porzingis,DAL,24,51,30,21,31.3,115.7,107.1,8.6,0.086,1.06,8.3,0.053,0.222,0.14,7.8,0.498,0.54,0.258,101.32,12.4
211,Kawhi Leonard,LAC,29,51,38,13,32.2,115.7,104.3,11.4,0.262,1.81,16.4,0.03,0.18,0.107,9,0.521,0.585,0.328,100.86,19.3
211,Patrick Patterson,LAC,31,51,34,17,11.9,108.1,103.6,4.4,0.071,1.72,12.3,0.046,0.138,0.092,7.1,0.551,0.576,0.147,104.56,8.6
211,Derrick Jones Jr.,MIA,23,51,31,20,24.5,109.2,110.1,-0.9,0.069,2.11,12.6,0.046,0.118,0.083,5.9,0.567,0.609,0.137,99.85,8.7
211,Frank Jackson,NOP,22,51,24,27,12.9,108.6,114.6,-5.9,0.086,0.95,11.1,0.026,0.072,0.049,11.7,0.461,0.5,0.196,108.09,4.3
211,E'Twaun Moore,NOP,31,51,26,25,18.8,108.8,110.7,-1.9,0.109,1.92,13.5,0.027,0.095,0.06,7.1,0.498,0.509,0.196,103.53,7.2
211,Shabazz Napier,WAS,28,51,16,35,24.2,106,108.6,-2.6,0.307,2.28,30.3,0.018,0.1,0.057,13.3,0.498,0.555,0.192,104.23,10.6
220,Jaylen Brown,BOS,23,50,33,17,34,113.4,106.9,6.5,0.1,0.94,10,0.031,0.148,0.09,10.6,0.559,0.589,0.245,99.67,11.4
220,Kemba Walker,BOS,30,50,33,17,31.8,116,108.5,7.5,0.233,2.31,19.4,0.02,0.104,0.062,8.4,0.52,0.569,0.273,100.3,13.2
220,Lauri Markkanen,CHI,23,50,18,32,29.8,105.3,107.3,-2,0.077,0.91,9.1,0.038,0.174,0.104,10,0.517,0.56,0.209,101.72,10.3
220,Kevin Porter Jr.,CLE,20,50,15,35,23.2,102,113.2,-11.2,0.147,1.17,16.4,0.018,0.121,0.068,14,0.505,0.535,0.202,100.15,6.9
220,Torrey Craig,DEN,29,50,35,15,17.4,105.7,111.1,-5.4,0.055,1.55,12.4,0.054,0.122,0.088,8,0.548,0.559,0.118,98.63,5.6
220,Derrick Rose,DET,31,50,17,33,26,108.8,112.2,-3.4,0.373,2.21,22.9,0.021,0.071,0.046,10.4,0.52,0.555,0.303,101.76,14
220,Rodney McGruder,LAC,28,50,33,17,15,108.2,107.5,0.7,0.052,1.43,13.8,0.033,0.12,0.078,9.6,0.462,0.472,0.1,106.72,4.5
220,Brandon Clarke,MEM,23,50,27,23,21.7,108.2,107.1,1.1,0.097,1.57,12.8,0.069,0.177,0.125,8.2,0.648,0.67,0.183,106.01,14.4
220,Kyle Korver,MIL,39,50,40,10,16.7,110.7,102.7,7.9,0.093,1.45,16.4,0.016,0.088,0.054,11.3,0.595,0.613,0.147,108.14,7.3
220,Terrance Ferguson,OKC,22,50,30,20,23.4,107.9,110.8,-3,0.052,1.5,15.9,0.021,0.041,0.032,10.6,0.487,0.504,0.091,98.36,1
220,Jevon Carter,PHX,24,50,21,29,15.1,103.5,107.2,-3.8,0.129,2.1,20.8,0.033,0.095,0.064,9.9,0.512,0.535,0.138,102.89,6.8
220,Carmelo Anthony,POR,36,50,22,28,32.5,112.8,112.5,0.3,0.069,0.91,8.7,0.037,0.142,0.091,9.6,0.479,0.517,0.218,100.11,7.8
220,Serge Ibaka,TOR,30,50,36,14,27.5,109.5,105,4.5,0.087,0.73,8.6,0.073,0.202,0.14,11.8,0.571,0.593,0.237,101.84,12.8
220,Tony Bradley,UTA,22,50,33,17,10.7,110.1,106.8,3.3,0.046,0.74,8,0.16,0.22,0.19,10.8,0.668,0.675,0.15,103.28,12.1
234,Damion Lee,GSW,27,49,12,37,29,105.6,109.7,-4.1,0.139,1.99,17.5,0.021,0.144,0.081,8.8,0.5,0.548,0.184,103.05,8.9
234,Goga Bitadze,IND,20,49,29,20,8.4,101.6,104.1,-2.6,0.071,0.84,11,0.053,0.155,0.108,13.1,0.496,0.53,0.173,104.88,7.5
234,Avery Bradley,LAL,29,49,36,13,24.2,111.3,104,7.4,0.07,1.34,12.5,0.015,0.077,0.047,9.3,0.526,0.537,0.153,103.08,5.5
234,Meyers Leonard,MIA,28,49,34,15,20.1,111.1,105.5,5.6,0.076,1.51,16.6,0.029,0.217,0.127,10.9,0.635,0.64,0.12,97.87,8.7
234,Omari Spellman,MIN,22,49,11,38,18.1,101.2,109.7,-8.5,0.086,0.87,10.8,0.076,0.155,0.114,12.4,0.503,0.551,0.177,102.39,9.8
234,D.J. Augustin,ORL,32,49,25,24,24.8,106.1,104.1,2,0.28,3.23,29.8,0.014,0.071,0.042,9.2,0.469,0.548,0.184,99.17,10.5
234,Raul Neto,PHI,28,49,27,22,11.5,100.6,98.7,1.8,0.214,1.83,24.9,0.019,0.069,0.045,13.6,0.531,0.562,0.172,101.33,8.9
234,Cameron Johnson,PHX,24,49,20,29,20.3,105.6,108.3,-2.7,0.078,1.79,12.2,0.037,0.101,0.068,6.8,0.558,0.576,0.154,104.14,7.8
234,Alex Len,SAC,27,49,15,34,18.3,101.9,107.5,-5.6,0.085,0.94,10.7,0.096,0.195,0.146,11.4,0.579,0.596,0.178,104.67,12
243,Cody Martin,CHA,24,48,16,32,18.8,104.5,107.7,-3.2,0.154,2.16,25.4,0.039,0.14,0.086,11.8,0.473,0.505,0.131,98.77,7.6
243,Michael Porter Jr.,DEN,22,48,33,15,14,111.8,111.1,0.8,0.075,1,9.4,0.074,0.216,0.143,9.4,0.57,0.589,0.204,102.24,11.5
243,Malcolm Brogdon,IND,27,48,30,18,30.7,108.6,105.7,2.9,0.353,2.98,29,0.028,0.123,0.076,9.7,0.485,0.537,0.247,98.9,13.5
243,Patrick Beverley,LAC,31,48,37,11,27.1,113.7,104,9.7,0.182,2.8,30.5,0.041,0.144,0.093,10.9,0.543,0.554,0.129,101.57,8.8
243,Rajon Rondo,LAL,34,48,37,11,20.5,108.7,107.3,1.4,0.34,2.64,35.3,0.022,0.119,0.07,13.4,0.48,0.494,0.184,101.73,10.4
243,Juancho Hernangomez,MIN,24,48,24,24,17.4,108.6,110.9,-2.3,0.063,1.25,11.4,0.046,0.184,0.111,9.1,0.494,0.518,0.149,105.27,7.2
243,Damyean Dotson,NYK,26,48,14,34,17.4,102.5,107.8,-5.3,0.105,2.71,15,0.011,0.091,0.05,5.5,0.516,0.527,0.158,101.48,7.9
243,Abdel Nader,OKC,26,48,33,15,15.8,100.6,103.9,-3.4,0.07,0.97,11.1,0.018,0.095,0.057,11.4,0.543,0.58,0.16,101.8,7.1
243,Josh Richardson,PHI,26,48,29,19,30.7,108,104.2,3.8,0.147,1.63,17,0.024,0.08,0.053,10.5,0.49,0.526,0.205,100.24,8.1
243,Nassir Little,POR,20,48,22,26,11.9,109.5,112.7,-3.2,0.05,1.47,10.6,0.048,0.12,0.084,7.2,0.477,0.505,0.131,104.18,5
243,Fred VanVleet,TOR,26,48,35,13,35.8,109.9,104.8,5.1,0.275,2.88,26.4,0.01,0.087,0.05,9.2,0.503,0.546,0.22,100.81,11.2
243,Emmanuel Mudiay,UTA,24,48,32,16,15.7,106.5,105.3,1.3,0.217,1.65,21.7,0.023,0.117,0.072,13.2,0.517,0.55,0.214,103.01,10
255,Landry Shamet,LAC,23,47,31,16,27.5,112.5,107.6,4.9,0.089,2.42,17.4,0.004,0.058,0.032,7.2,0.566,0.599,0.131,103.43,5.2
255,Anthony Tolliver,MEM,35,47,22,25,15.6,105.8,113,-7.2,0.06,1.1,14.4,0.037,0.133,0.083,13.1,0.474,0.497,0.11,103.47,4.5
255,Tyler Herro,MIA,20,47,31,16,27.2,106.9,108.6,-1.7,0.116,1.26,12.5,0.011,0.126,0.07,9.9,0.507,0.534,0.21,100.23,9.2
255,Mario Hezonja,POR,25,47,20,27,16.3,103.7,112.7,-9,0.077,1.14,14.4,0.031,0.154,0.094,12.7,0.484,0.532,0.134,104.13,6.8
259,Jeremy Lamb,IND,28,46,27,19,28.1,108.9,109.8,-0.9,0.107,1.92,14.2,0.019,0.135,0.079,7.4,0.506,0.547,0.195,99.33,9.5
260,Gordon Hayward,BOS,30,45,29,16,33.4,113,104.9,8,0.18,2.34,20.1,0.029,0.156,0.094,8.6,0.563,0.593,0.204,101.8,13.3
260,Ky Bowman,GSW,23,45,9,36,22.6,99.8,108.2,-8.4,0.202,1.87,24.3,0.022,0.093,0.057,13,0.469,0.494,0.168,101.63,6.7
260,Sterling Brown,MIL,25,45,36,9,14.8,105.3,100,5.3,0.096,1.28,14.7,0.039,0.173,0.109,11.5,0.45,0.478,0.16,106.22,8.1
260,D'Angelo Russell,MIN,24,45,11,34,32.3,106.2,114.3,-8.1,0.327,1.94,20.8,0.011,0.107,0.057,10.7,0.519,0.556,0.305,104.75,12.5
260,Derrick Favors,NOP,28,45,22,23,24.2,113.2,107.4,5.8,0.091,1.47,16.5,0.124,0.248,0.187,11.2,0.621,0.624,0.139,104.51,13
260,Elfrid Payton,NYK,26,45,17,28,27.7,109.4,112.3,-3,0.347,3.36,36,0.039,0.126,0.081,10.7,0.455,0.47,0.19,100.5,11.1
260,Wes Iwundu,ORL,25,45,21,24,18,103.6,103.2,0.4,0.079,2.56,15.7,0.026,0.109,0.066,6.1,0.451,0.521,0.128,100.77,6.5
260,De'Aaron Fox,SAC,22,45,19,26,31.7,110.8,113.7,-2.9,0.333,2.16,23.9,0.02,0.106,0.063,11.1,0.509,0.556,0.287,102.07,12.3
268,Dewayne Dedmon,ATL,30,44,17,27,17.6,107.4,108.1,-0.7,0.041,0.39,6.3,0.075,0.241,0.157,16.4,0.443,0.473,0.179,100.29,6.5
268,Javonte Green,BOS,26,44,30,14,9.4,105.1,105.1,-0.1,0.076,1.28,14.7,0.044,0.135,0.092,11.5,0.531,0.558,0.133,103.43,8.3
268,Paul Millsap,DEN,35,44,27,17,24.4,113.5,102.2,11.3,0.091,1.15,12.3,0.08,0.158,0.12,10.7,0.548,0.598,0.2,98.1,10.8
268,Joel Embiid,PHI,26,44,28,16,30.2,106.2,101.4,4.8,0.185,1.01,12,0.089,0.278,0.186,11.8,0.514,0.593,0.313,101.91,19.7
268,Cheick Diallo,PHX,23,44,17,27,10.6,104.5,109,-4.6,0.077,0.73,10.7,0.06,0.212,0.136,14.6,0.653,0.688,0.166,101.88,12.1
268,Yogi Ferrell,SAC,27,44,17,27,11,100.5,103.8,-3.3,0.19,2.36,21.9,0.012,0.091,0.049,9.3,0.453,0.499,0.182,100.49,8.6
268,Norman Powell,TOR,27,44,33,11,28.8,110.7,104,6.7,0.094,1.22,10.9,0.018,0.095,0.058,9,0.593,0.629,0.21,103.33,11.1
275,DeAndre' Bembry,ATL,25,43,10,33,21.3,98.9,110.6,-11.8,0.13,1.35,20.7,0.034,0.123,0.077,15.3,0.489,0.5,0.137,105.69,6.9
275,Daniel Gafford,CHI,21,43,15,28,14.2,102.6,104.5,-1.9,0.051,0.72,10,0.081,0.092,0.087,13.7,0.701,0.686,0.131,102.14,7.6
275,Wendell Carter Jr.,CHI,21,43,15,28,29.2,104.8,105.3,-0.5,0.062,0.71,9.5,0.102,0.216,0.156,13.4,0.542,0.59,0.162,100.79,10.3
275,Shaquille Harrison,CHI,26,43,14,29,11.3,106.5,99.7,6.8,0.147,2.58,19.1,0.042,0.139,0.087,7.4,0.515,0.559,0.176,101.88,11.4
275,Draymond Green,GSW,30,43,10,33,28.4,103.2,110.4,-7.2,0.31,2.71,37.1,0.018,0.192,0.104,13.7,0.446,0.489,0.156,102.94,10
280,Troy Daniels,DEN,28,42,32,10,10.9,102.6,102.6,0,0.045,1.56,7.5,0.024,0.067,0.046,4.8,0.516,0.524,0.155,102.82,5.8
280,Paul George,LAC,30,42,30,12,29.1,114,105.7,8.3,0.208,1.43,15.8,0.018,0.165,0.093,11,0.53,0.582,0.292,102.49,14.4
280,Marko Guduric,MEM,25,42,18,24,11.3,104.4,107.7,-3.3,0.129,1.25,18.4,0.028,0.114,0.071,14.8,0.477,0.515,0.169,105.43,6.5
280,Michael Carter-Williams,ORL,28,42,19,23,18.4,108.7,107.3,1.4,0.195,2.13,23.7,0.052,0.124,0.086,11.2,0.475,0.539,0.175,99.85,10.1
280,Aron Baynes,PHX,33,42,19,23,22.2,110.2,111.7,-1.5,0.108,1.34,12.7,0.075,0.178,0.126,9.5,0.558,0.581,0.205,103.02,9.4
285,John Collins,ATL,22,41,15,26,33.2,107,112.1,-5.1,0.075,0.8,7.5,0.08,0.208,0.144,9.3,0.632,0.659,0.224,104.32,15.2
285,Thabo Sefolosha,HOU,36,41,27,14,10.6,110.7,106.7,3.9,0.074,1.67,18.7,0.043,0.152,0.096,11.2,0.489,0.487,0.1,106.61,6.4
285,Chris Silva,MIA,23,41,27,14,7.5,105.7,109.1,-3.4,0.104,0.68,14.5,0.171,0.174,0.172,21.4,0.623,0.663,0.159,102.43,8
285,Nickeil Alexander-Walker,NOP,21,41,18,23,12.2,108.1,113.3,-5.1,0.207,1.85,20.9,0.015,0.135,0.074,11.3,0.427,0.441,0.227,105.15,6.2
285,Mike Muscala,OKC,28,41,23,18,12,102.3,104.9,-2.6,0.104,2.43,15.7,0.026,0.161,0.093,6.5,0.538,0.56,0.158,104.53,8.2
285,Mike Conley,UTA,32,41,24,17,28.6,109.1,107.6,1.6,0.235,2.34,22.6,0.023,0.086,0.055,9.6,0.488,0.527,0.222,100.41,9.3
285,Rui Hachimura,WAS,22,41,15,26,29.7,109.9,117.8,-7.8,0.083,1.71,11.3,0.049,0.159,0.102,6.6,0.5,0.543,0.186,103.46,9.2
292,Alfonzo McKinnie,CLE,27,40,11,29,14.8,105.6,113,-7.4,0.032,0.54,6.2,0.061,0.131,0.095,11.6,0.468,0.493,0.147,101.43,4.7
292,Dwight Powell,DAL,28,40,25,15,26.5,116.3,107.4,8.9,0.076,1.64,15.8,0.071,0.132,0.102,9.7,0.659,0.677,0.126,99.41,9.4
292,John Henson,DET,29,40,8,32,15,104,104.7,-0.7,0.133,1.5,19.2,0.077,0.191,0.134,12.8,0.579,0.578,0.16,100.77,10.8
292,Jeff Green,HOU,33,40,24,16,18.9,105.7,108.3,-2.7,0.065,0.89,8.8,0.03,0.112,0.072,9.9,0.536,0.575,0.185,102.68,8.3
292,Jared Dudley,LAL,34,40,29,11,7.8,100,97.5,2.5,0.086,3.17,25,0.016,0.113,0.067,7.9,0.56,0.57,0.08,99.23,5.6
292,Khem Birch,ORL,27,40,16,24,19.4,101.4,107.6,-6.2,0.065,1.52,17.2,0.081,0.145,0.111,11.3,0.487,0.529,0.092,98.81,6.1
292,Isaiah Thomas,WAS,31,40,14,26,23.1,109.8,120.2,-10.4,0.224,1.9,21.3,0.011,0.063,0.036,11.3,0.5,0.531,0.236,105.14,7
299,Clint Capela,ATL,26,39,22,17,32.8,110,107.4,2.5,0.056,0.76,8.8,0.118,0.265,0.191,11.6,0.629,0.626,0.156,104.64,14.3
299,Rodions Kurucs,BKN,22,39,13,26,12.8,99.5,101.7,-2.3,0.095,0.94,15.3,0.032,0.132,0.084,16.3,0.541,0.554,0.145,106.02,6.4
299,Caris LeVert,BKN,25,39,18,21,29,108.4,108.5,-0.1,0.229,1.62,17,0.032,0.095,0.064,10.5,0.473,0.509,0.277,102.85,10.5
299,Timothe Luwawu-Cabarrot,BKN,25,39,15,24,17.2,99.9,103.8,-3.8,0.058,0.78,9,0.031,0.085,0.059,11.6,0.508,0.563,0.153,103.55,5.5
299,Dwayne Bacon,CHA,24,39,10,29,17.6,100.9,109.1,-8.2,0.121,1.41,14.6,0.02,0.124,0.069,10.4,0.387,0.419,0.189,99.14,4.9
299,Keita Bates-Diop,DEN,24,39,10,29,17.1,98.7,109.4,-10.7,0.073,2.14,10.6,0.027,0.129,0.076,5,0.502,0.541,0.155,104.07,8.8
299,Richaun Holmes,SAC,26,39,15,24,28.9,110.3,108.8,1.6,0.053,0.8,8.6,0.103,0.187,0.144,10.8,0.654,0.685,0.159,98.36,12
306,Sekou Doumbouya,DET,19,38,10,28,19.8,104,114.8,-10.8,0.037,0.54,6.2,0.026,0.137,0.079,11.4,0.449,0.474,0.164,98.84,3.9
306,Quinn Cook,LAL,27,38,30,8,10.8,109.1,100.3,8.8,0.14,1.6,16.6,0.016,0.071,0.045,10.4,0.512,0.517,0.201,102.93,7.7
306,Hamidou Diallo,OKC,21,38,21,17,18.4,104.3,102.4,1.9,0.045,0.59,7.4,0.04,0.119,0.081,12.5,0.468,0.488,0.164,102.95,5.3
306,Harry Giles III,SAC,22,38,19,19,15.2,106.6,114.3,-7.7,0.128,1.4,15.8,0.058,0.244,0.147,11.3,0.56,0.586,0.197,101.2,10.3
306,Thomas Bryant,WAS,22,38,14,24,23.7,110.6,117.6,-7,0.112,1.48,15.2,0.081,0.202,0.141,10.3,0.635,0.659,0.18,105.07,12.2
306,Ian Mahinmi,WAS,33,38,15,23,21.3,109.5,114,-4.5,0.084,1.09,13.9,0.089,0.176,0.13,12.8,0.507,0.545,0.154,102.05,7.8
312,Boban Marjanovic,DAL,31,37,19,18,9.1,117.6,109,8.6,0.059,0.5,5.6,0.156,0.284,0.221,11.2,0.566,0.599,0.264,101.43,15.1
312,Jordan McRae,DET,29,37,12,25,21.2,109.7,113.7,-4.1,0.174,2.16,16.9,0.022,0.139,0.078,7.8,0.469,0.515,0.239,104.59,9.3
312,Allen Crabbe,MIN,28,37,5,32,17.6,97.5,112.5,-15,0.073,1.94,14.2,0.014,0.098,0.053,7.3,0.458,0.47,0.122,106.22,4.3
312,Patrick McCaw,TOR,24,37,27,10,24.5,106.1,105.5,0.6,0.118,2.72,28.4,0.02,0.068,0.045,10.4,0.485,0.5,0.093,101.83,5
312,Moritz Wagner,WAS,23,37,14,23,19.1,109.6,111.1,-1.5,0.103,0.89,13.3,0.068,0.203,0.133,14.9,0.625,0.666,0.181,107.61,10
317,Luke Kornet,CHI,24,36,11,25,15.5,103.4,107,-3.6,0.082,2.29,13,0.037,0.118,0.075,5.7,0.521,0.539,0.163,101.45,7.3
317,Denzel Valentine,CHI,26,36,12,24,13.6,99.7,104.7,-5,0.147,1.65,13.9,0.016,0.138,0.072,8.4,0.506,0.511,0.229,100.55,9.4
317,Wayne Ellington,NYK,32,36,9,27,15.5,102.4,105.5,-3.1,0.117,2.44,18.3,0.007,0.104,0.054,7.5,0.494,0.509,0.146,99.59,6.8
317,Marc Gasol,TOR,35,36,28,8,27.5,110.6,100.2,10.4,0.166,2.88,29.7,0.029,0.18,0.109,10.3,0.528,0.546,0.127,101.81,9.2
321,Dzanan Musa,BKN,21,35,17,18,11.5,100.1,105.5,-5.3,0.116,1.07,14.1,0.042,0.112,0.077,13.2,0.414,0.467,0.187,104.85,6.6
