"","PLAYER","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","Plus_Minus","OFFRTG","DEFRTG","NETRTG","AST.","AST.TO","ASTÂ.Ratio","OREB.","DREB.","REB.","TOÂ.Ratio","eFG.","TS.","USG.","PIE","Cluster_Number"
"159","Brandon Ingram",24.3,8.4,18,0.466,2.4,6.3,0.387,5.1,5.9,0.858,0.9,5.4,6.3,4.3,3.1,1,0.7,2.9,0,110.2,109.7,0.5,0.293,2.28,32.1,0.032,0.144,0.088,14.1,0.523,0.529,0.183,10.5,3
"160","Lonzo Ball",12.4,4.6,11.2,0.412,2.5,6.5,0.383,0.7,1.2,0.567,1.1,5.1,6.2,7,3.1,1.4,0.5,2,0.5,110.7,111.1,-0.3,0.195,1.39,15.5,0.024,0.144,0.085,11.2,0.534,0.59,0.276,13.2,2
"161","RJ Barrett",14.3,5.2,13,0.402,1.1,3.5,0.32,2.8,4.5,0.614,0.9,4.1,5,2.6,2.2,1,0.3,2.2,-5.8,105.4,114.5,-9.1,0.127,1.15,12.9,0.027,0.134,0.078,11.2,0.445,0.479,0.234,7.2,2
"162","Kelly Oubre Jr.",18.7,6.7,14.8,0.452,1.9,5.5,0.352,3.4,4.4,0.78,1.2,5.3,6.4,1.5,1.5,1.3,0.7,3.4,-0.5,110.6,110.4,0.2,0.066,1.02,7.7,0.034,0.151,0.092,7.6,0.517,0.56,0.219,9.7,2
"167","Jamal Murray",18.8,7,15.4,0.455,1.9,5.5,0.345,2.9,3.2,0.893,0.8,3.2,3.9,4.8,2.3,1.2,0.3,1.8,4.5,112.9,107,5.9,0.225,2.15,20.4,0.024,0.097,0.061,9.5,0.517,0.559,0.248,12,3
"168","Myles Turner",11.8,4.2,9.4,0.451,1.4,4.2,0.336,2,2.6,0.75,1.3,5.3,6.5,1.1,1.2,0.8,2.2,2.5,0.3,107.1,106.2,0.9,0.054,0.9,8.6,0.043,0.171,0.108,9.6,0.525,0.561,0.174,9.6,2
"169","Marcus Morris Sr.",17.4,5.9,13.6,0.433,2.4,5.9,0.41,3.1,3.8,0.823,1,4.1,5.1,1.4,1.6,0.8,0.5,2.9,-0.6,109.1,109.9,-0.8,0.068,0.88,7.7,0.029,0.128,0.077,8.8,0.522,0.567,0.224,9.5,2
"171","Anthony Davis",26.7,9.2,18.1,0.511,1.2,3.5,0.335,7,8.3,0.845,2.3,7.1,9.4,3.1,2.5,1.5,2.4,2.5,5.2,112.3,105.6,6.7,0.148,1.27,11.6,0.064,0.197,0.131,9.1,0.544,0.614,0.287,18.3,1
"172","Khris Middleton",21.1,7.7,15.5,0.499,2.4,5.8,0.418,3.2,3.6,0.908,0.7,5.5,6.2,4.1,2.1,0.9,0.1,2.2,9,113.4,99.6,13.8,0.2,1.99,17.8,0.023,0.156,0.094,8.9,0.577,0.619,0.259,15.5,3
"174","Jrue Holiday",19.6,7.7,16.9,0.452,2.1,5.9,0.357,2.2,3.1,0.7,1.3,3.6,4.9,6.9,2.9,1.7,0.8,2.3,0.7,110.5,109.9,0.6,0.289,2.39,24.6,0.034,0.096,0.065,10.3,0.514,0.535,0.244,11.7,3
